[2024-06-06T03:47:26.241Z] Attempting to play song: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Started playing: Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:27.087Z] Updated bot's status: Now Playing - Hot Mulligan - *Equip Sunglasses*
[2024-06-06T03:47:57.239Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.240Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.238Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.241Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.240Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.241Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.241Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.242Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.240Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.242Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.243Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.242Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.243Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.243Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.243Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.244Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.244Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.244Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.245Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.245Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.246Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.245Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.247Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.246Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.246Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.247Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.247Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.248Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.248Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.248Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.249Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.248Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.249Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.250Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.250Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.249Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.251Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.251Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.251Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.250Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.251Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.252Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.252Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.253Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.252Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.253Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.254Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.253Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.254Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.254Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.255Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.255Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.256Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.256Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.255Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.257Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.256Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.256Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.257Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.258Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.258Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.258Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.257Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.259Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.259Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.258Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.259Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.260Z] Error playing song - Cannot read properties of undefined (reading 'title')
[2024-06-06T03:47:57.260Z] Error playing song - Cannot read properties of undefined (reading 'title')
